<<<<<<< HEAD
Material ID,material type,company name,location,type of cement,distance,geolocation,market cost,quantity,petrol price,quality,excise duty cost,season of purchase,cost
6748,cement,ULTRATECH,Bhilai,Low Heat Cement,30,"[21.20919, 81.4285]",118,30,102,43,424.8,Winter,5969.6
5953,cement,ULTRATECH,Delhi,Low Heat Cement,200,"[28.7040592, 77.1024902]",146,10,95,43,175.2,Winter,11530.400000000001
9520,cement,ORIENT,Jaipur,Air Entraining Cement,170,"[27.0, 76.0]",119,30,105,43,428.4,Summer,13541.8
2277,cement,AMBUJA,Guwahati,White Cement,210,"[26.148043, 91.731377]",134,40,97,53,643.1999999999999,Rainy,17061.4
1649,cement,AMBUJA,Bhopal,Blast Furnace Slag Cement,100,"[23.25469, 77.40289]",143,20,96,53,343.2,Summer,8466.4
3200,cement,AMBUJA,Jamshedpur,Sulfates Resisting Cement,79,"[22.80278, 86.18545]",112,10,97,33,134.4,Summer,5319.299999999999
2515,cement,ORIENT,Bhopal,Air Entraining Cement,100,"[23.25469, 77.40289]",105,40,96,53,504.0,Winter,10128.0
8499,cement,INDIA,Bhopal,Sulfates Resisting Cement,100,"[23.25469, 77.40289]",119,10,96,33,142.79999999999998,Rainy,6395.6
2299,cement,ULTRATECH,Jaipur,Blast Furnace Slag Cement,170,"[27.0, 76.0]",108,20,105,53,259.2,Summer,11793.400000000001
9749,cement,JAYPEE,Guwahati,Colored Cement,210,"[26.148043, 91.731377]",138,10,97,43,165.6,Summer,12126.2
4564,cement,ULTRATECH,Jaipur,High Alumina Cement,170,"[27.0, 76.0]",146,40,105,43,700.8,Rainy,16356.599999999999
7531,cement,ULTRATECH,Bhopal,Low Heat Cement,100,"[23.25469, 77.40289]",101,40,96,33,484.79999999999995,Summer,9929.599999999999
8158,cement,ULTRATECH,Guwahati,Low Heat Cement,210,"[26.148043, 91.731377]",149,40,97,43,715.1999999999999,Summer,17805.4
5116,cement,INDIA,Vishakapatnam,Sulfates Resisting Cement,95,"[17.68009, 83.20161]",126,30,110,43,453.59999999999997,Winter,10027.2
2671,cement,ULTRATECH,Vishakapatnam,Blast Furnace Slag Cement,95,"[17.68009, 83.20161]",109,20,110,53,261.59999999999997,Summer,8043.200000000001
4734,cement,ULTRATECH,Delhi,Hydrophobic Cement,200,"[28.7040592, 77.1024902]",109,40,95,43,523.1999999999999,Summer,15126.400000000001
2105,cement,RAMCO,Bhilai,Sulfates Resisting Cement,30,"[21.20919, 81.4285]",103,40,102,43,494.4,Summer,6688.799999999999
8825,cement,AMBUJA,Jamshedpur,White Cement,79,"[22.80278, 86.18545]",150,10,97,53,180.0,Rainy,5790.5
6025,cement,RAMCO,Bhopal,High Alumina Cement,100,"[23.25469, 77.40289]",102,40,96,43,489.59999999999997,Winter,9979.2
1446,cement,JAYPEE,Delhi,Sulfates Resisting Cement,200,"[28.7040592, 77.1024902]",116,30,95,53,417.59999999999997,Rainy,14035.2
5706,cement,ULTRATECH,Delhi,Blast Furnace Slag Cement,200,"[28.7040592, 77.1024902]",128,40,95,43,614.4,Summer,16068.8
8131,cement,ACC,Jaipur,Hydrophobic Cement,170,"[27.0, 76.0]",130,30,105,33,468.0,Winter,13951.0
4747,cement,RAMCO,Delhi,High Alumina Cement,200,"[28.7040592, 77.1024902]",112,20,95,43,268.8,Summer,12497.599999999999
6682,cement,JAYPEE,Jaipur,Colored Cement,170,"[27.0, 76.0]",137,20,105,43,328.8,Summer,12512.599999999999
3392,cement,RAMCO,Bhilai,Low Heat Cement,30,"[21.20919, 81.4285]",115,10,102,43,138.0,Rainy,3006.0
3215,cement,JAYPEE,Bhopal,Sulfates Resisting Cement,100,"[23.25469, 77.40289]",149,30,96,53,536.4,Winter,10462.8
7315,cement,INDIA,Bhilai,High Alumina Cement,30,"[21.20919, 81.4285]",105,10,102,33,126.0,Rainy,2882.0
7726,cement,ACC,Bhopal,Colored Cement,100,"[23.25469, 77.40289]",132,20,96,33,316.8,Winter,8193.6
5212,cement,INDIA,Guwahati,Air Entraining Cement,210,"[26.148043, 91.731377]",116,20,97,43,278.4,Winter,13291.8
6030,cement,RAMCO,Bhopal,High Alumina Cement,100,"[23.25469, 77.40289]",110,20,96,43,264.0,Rainy,7648.0
1022,cement,AMBUJA,Bhilai,High Alumina Cement,30,"[21.20919, 81.4285]",141,40,102,43,676.8,Winter,8573.6
8820,cement,ORIENT,Jamshedpur,Sulfates Resisting Cement,79,"[22.80278, 86.18545]",126,20,97,53,302.4,Winter,7055.299999999999
6903,cement,RAMCO,Vishakapatnam,Low Heat Cement,95,"[17.68009, 83.20161]",108,40,110,43,518.4,Summer,10696.8
3948,cement,ACC,Jamshedpur,White Cement,79,"[22.80278, 86.18545]",130,20,97,43,312.0,Winter,7154.5
7770,cement,JAYPEE,Vishakapatnam,Hydrophobic Cement,95,"[17.68009, 83.20161]",127,30,110,53,457.2,Winter,10064.400000000001
5738,cement,JAYPEE,Vishakapatnam,Colored Cement,95,"[17.68009, 83.20161]",116,10,110,33,139.2,Summer,6778.4
3257,cement,AMBUJA,Jamshedpur,Expansive Cement,79,"[22.80278, 86.18545]",122,30,97,33,439.2,Summer,8468.9
9753,cement,AMBUJA,Bhilai,Sulfates Resisting Cement,30,"[21.20919, 81.4285]",143,10,102,53,171.6,Summer,3353.2
9918,cement,ULTRATECH,Jaipur,High Alumina Cement,170,"[27.0, 76.0]",114,30,105,43,410.4,Rainy,13355.8
4256,cement,ACC,Guwahati,Expansive Cement,210,"[26.148043, 91.731377]",149,10,97,33,178.79999999999998,Winter,12262.599999999999
7735,cement,ULTRATECH,Delhi,Air Entraining Cement,200,"[28.7040592, 77.1024902]",143,10,95,33,171.6,Rainy,11493.2
5938,cement,ORIENT,Jamshedpur,High Alumina Cement,79,"[22.80278, 86.18545]",149,30,97,33,536.4,Rainy,9473.3
1487,cement,ULTRATECH,Jamshedpur,Sulfates Resisting Cement,79,"[22.80278, 86.18545]",114,30,97,33,410.4,Summer,8171.299999999999
6977,cement,JAYPEE,Delhi,White Cement,200,"[28.7040592, 77.1024902]",129,40,95,53,619.1999999999999,Rainy,16118.400000000001
4019,cement,JAYPEE,Guwahati,Hydrophobic Cement,210,"[26.148043, 91.731377]",143,10,97,33,171.6,Rainy,12188.2
9152,cement,JAYPEE,Bhilai,Blast Furnace Slag Cement,30,"[21.20919, 81.4285]",126,20,102,43,302.4,Winter,4704.799999999999
3663,cement,ULTRATECH,Bhilai,White Cement,30,"[21.20919, 81.4285]",123,20,102,33,295.2,Rainy,4630.4
1220,cement,ULTRATECH,Bhilai,Colored Cement,30,"[21.20919, 81.4285]",104,30,102,43,374.4,Summer,5448.799999999999
9135,cement,JAYPEE,Delhi,Low Heat Cement,200,"[28.7040592, 77.1024902]",116,10,95,43,139.2,Winter,11158.400000000001
2471,cement,JAYPEE,Guwahati,Expansive Cement,210,"[26.148043, 91.731377]",134,10,97,53,160.79999999999998,Summer,12076.599999999999
5645,cement,ORIENT,Vishakapatnam,Expansive Cement,95,"[17.68009, 83.20161]",123,10,110,53,147.6,Rainy,6865.200000000001
3263,cement,INDIA,Guwahati,Low Heat Cement,210,"[26.148043, 91.731377]",148,40,97,33,710.4,Summer,17755.800000000003
9156,cement,INDIA,Bhilai,White Cement,30,"[21.20919, 81.4285]",140,20,102,53,336.0,Winter,5052.0
8396,cement,RAMCO,Bhopal,Colored Cement,100,"[23.25469, 77.40289]",144,30,96,43,518.4,Summer,10276.8
6174,cement,INDIA,Guwahati,Hydrophobic Cement,210,"[26.148043, 91.731377]",140,30,97,53,504.0,Summer,15623.0
8500,cement,INDIA,Bhopal,High Alumina Cement,100,"[23.25469, 77.40289]",111,40,96,33,532.8,Winter,10425.599999999999
2718,cement,INDIA,Jaipur,Expansive Cement,170,"[27.0, 76.0]",126,30,105,53,453.59999999999997,Rainy,13802.2
3306,cement,INDIA,Vishakapatnam,Expansive Cement,95,"[17.68009, 83.20161]",146,40,110,43,700.8,Winter,12581.599999999999
4184,cement,INDIA,Jaipur,Expansive Cement,170,"[27.0, 76.0]",122,10,105,53,146.4,Summer,10627.8
7029,cement,JAYPEE,Delhi,White Cement,200,"[28.7040592, 77.1024902]",122,20,95,43,292.8,Rainy,12745.599999999999
7679,cement,ACC,Delhi,Hydrophobic Cement,200,"[28.7040592, 77.1024902]",134,20,95,33,321.59999999999997,Rainy,13043.2
9769,cement,ORIENT,Jamshedpur,Hydrophobic Cement,79,"[22.80278, 86.18545]",100,10,97,33,120.0,Summer,5170.5
4423,cement,INDIA,Delhi,Hydrophobic Cement,200,"[28.7040592, 77.1024902]",130,10,95,33,156.0,Rainy,11332.0
7976,cement,JAYPEE,Bhopal,Air Entraining Cement,100,"[23.25469, 77.40289]",143,40,96,43,686.4,Summer,12012.8
9253,cement,ULTRATECH,Guwahati,White Cement,210,"[26.148043, 91.731377]",104,40,97,53,499.2,Summer,15573.400000000001
6353,cement,ULTRATECH,Jaipur,Air Entraining Cement,170,"[27.0, 76.0]",128,30,105,33,460.79999999999995,Rainy,13876.599999999999
6473,cement,JAYPEE,Jaipur,Blast Furnace Slag Cement,170,"[27.0, 76.0]",121,30,105,43,435.59999999999997,Rainy,13616.2
7712,cement,ORIENT,Bhilai,Expansive Cement,30,"[21.20919, 81.4285]",106,30,102,43,381.59999999999997,Summer,5523.200000000001
6180,cement,ACC,Jaipur,High Alumina Cement,170,"[27.0, 76.0]",101,20,105,33,242.39999999999998,Winter,11619.8
8872,cement,ACC,Guwahati,Air Entraining Cement,210,"[26.148043, 91.731377]",104,30,97,33,374.4,Winter,14283.8
8128,cement,ACC,Delhi,Low Heat Cement,200,"[28.7040592, 77.1024902]",103,30,95,43,370.8,Summer,13551.599999999999
2517,cement,INDIA,Bhopal,White Cement,100,"[23.25469, 77.40289]",103,30,96,53,370.8,Winter,8751.599999999999
7678,cement,AMBUJA,Guwahati,High Alumina Cement,210,"[26.148043, 91.731377]",133,40,97,53,638.4,Rainy,17011.8
8603,cement,ACC,Bhilai,Low Heat Cement,30,"[21.20919, 81.4285]",125,30,102,33,450.0,Summer,6230.0
5345,cement,ORIENT,Jaipur,Expansive Cement,170,"[27.0, 76.0]",128,20,105,43,307.2,Rainy,12289.400000000001
7691,cement,ULTRATECH,Jaipur,Sulfates Resisting Cement,170,"[27.0, 76.0]",101,10,105,33,121.19999999999999,Rainy,10367.400000000001
1719,cement,AMBUJA,Guwahati,High Alumina Cement,210,"[26.148043, 91.731377]",115,30,97,53,414.0,Winter,14693.0
9727,cement,RAMCO,Guwahati,Sulfates Resisting Cement,210,"[26.148043, 91.731377]",130,20,97,33,312.0,Rainy,13639.0
4643,cement,ORIENT,Bhilai,White Cement,30,"[21.20919, 81.4285]",121,20,102,53,290.4,Winter,4580.799999999999
2331,cement,JAYPEE,Bhopal,Sulfates Resisting Cement,100,"[23.25469, 77.40289]",150,40,96,43,720.0,Winter,12360.0
9970,cement,RAMCO,Bhopal,Sulfates Resisting Cement,100,"[23.25469, 77.40289]",132,10,96,53,158.4,Winter,6556.799999999999
7008,cement,ULTRATECH,Jamshedpur,Sulfates Resisting Cement,79,"[22.80278, 86.18545]",111,10,97,43,133.2,Rainy,5306.9
8340,cement,AMBUJA,Vishakapatnam,Expansive Cement,95,"[17.68009, 83.20161]",100,30,110,53,360.0,Summer,9060.0
3701,cement,ORIENT,Delhi,White Cement,200,"[28.7040592, 77.1024902]",114,10,95,43,136.79999999999998,Summer,11133.599999999999
4361,cement,ULTRATECH,Jamshedpur,Expansive Cement,79,"[22.80278, 86.18545]",122,40,97,53,585.6,Rainy,9981.7
4556,cement,ACC,Bhilai,High Alumina Cement,30,"[21.20919, 81.4285]",115,10,102,33,138.0,Summer,3006.0
7463,cement,ULTRATECH,Vishakapatnam,White Cement,95,"[17.68009, 83.20161]",115,30,110,43,414.0,Winter,9618.0
3641,cement,ULTRATECH,Jaipur,Low Heat Cement,170,"[27.0, 76.0]",103,40,105,33,494.4,Winter,14223.8
7060,cement,ORIENT,Jaipur,White Cement,170,"[27.0, 76.0]",110,40,105,43,528.0,Rainy,14571.0
4283,cement,ACC,Bhilai,Air Entraining Cement,30,"[21.20919, 81.4285]",134,10,102,33,160.79999999999998,Summer,3241.6000000000004
5229,cement,ORIENT,Jaipur,White Cement,170,"[27.0, 76.0]",121,40,105,53,580.8,Winter,15116.599999999999
7283,cement,INDIA,Guwahati,Air Entraining Cement,210,"[26.148043, 91.731377]",114,10,97,33,136.79999999999998,Rainy,11828.599999999999
8583,cement,AMBUJA,Bhilai,Expansive Cement,30,"[21.20919, 81.4285]",137,20,102,53,328.8,Winter,4977.6
9981,cement,JAYPEE,Guwahati,White Cement,210,"[26.148043, 91.731377]",132,40,97,43,633.6,Summer,16962.2
1461,cement,ACC,Jaipur,Colored Cement,170,"[27.0, 76.0]",137,20,105,33,328.8,Rainy,12512.599999999999
7581,cement,AMBUJA,Bhilai,Low Heat Cement,30,"[21.20919, 81.4285]",135,10,102,33,162.0,Rainy,3254.0
